indicador,data,valor
credito_personas,01/03/2011,2.6
credito_personas,01/04/2011,2.62
credito_personas,01/05/2011,2.6
credito_personas,01/06/2011,2.6
credito_personas,01/07/2011,2.56
credito_personas,01/08/2011,2.61
credito_personas,01/09/2011,2.63
credito_personas,01/10/2011,2.62
credito_personas,01/11/2011,2.57
credito_personas,01/12/2011,2.56
credito_personas,01/01/2012,2.58
credito_personas,01/02/2012,2.59
credito_personas,01/03/2012,2.56
credito_personas,01/04/2012,2.45
credito_personas,01/05/2012,2.39
credito_personas,01/06/2012,2.32
credito_personas,01/07/2012,2.28
credito_personas,01/08/2012,2.25
credito_personas,01/09/2012,2.3
credito_personas,01/10/2012,2.29
credito_personas,01/11/2012,2.27
credito_personas,01/12/2012,2.24
credito_personas,01/01/2013,2.25
credito_personas,01/02/2013,2.26
credito_personas,01/03/2013,2.24
credito_personas,01/04/2013,2.24
credito_personas,01/05/2013,2.19
credito_personas,01/06/2013,2.18
credito_personas,01/07/2013,2.22
credito_personas,01/08/2013,2.23
credito_personas,01/09/2013,2.25
credito_personas,01/10/2013,2.28
credito_personas,01/11/2013,2.27
credito_personas,01/12/2013,2.19
credito_personas,01/01/2014,2.35
credito_personas,01/02/2014,2.35
credito_personas,01/03/2014,2.36
credito_personas,01/04/2014,2.36
credito_personas,01/05/2014,2.37
credito_personas,01/06/2014,2.38
credito_personas,01/07/2014,2.39
credito_personas,01/08/2014,2.41
credito_personas,01/09/2014,2.42
credito_personas,01/10/2014,2.48
credito_personas,01/11/2014,2.44
credito_personas,01/12/2014,2.47
credito_personas,01/01/2015,2.6
credito_personas,01/02/2015,2.67
credito_personas,01/03/2015,2.68
credito_personas,01/04/2015,2.68
credito_personas,01/05/2015,2.69
credito_personas,01/06/2015,2.72
credito_personas,01/07/2015,2.82
credito_personas,01/08/2015,2.89
credito_personas,01/09/2015,2.86
credito_personas,01/10/2015,2.91
credito_personas,01/11/2015,2.93
credito_personas,01/12/2015,2.91
credito_personas,01/01/2016,3.02
credito_personas,01/02/2016,3.04
credito_personas,01/03/2016,3.09
credito_personas,01/04/2016,3.06
credito_personas,01/05/2016,3.06
credito_personas,01/06/2016,3.03
credito_personas,01/07/2016,3.04
credito_personas,01/08/2016,3.05
credito_personas,01/09/2016,3.08
credito_personas,01/10/2016,3.12
credito_personas,01/11/2016,3.05
credito_personas,01/12/2016,3.01
credito_personas,01/01/2017,3.07
credito_personas,01/02/2017,3.07
credito_personas,01/03/2017,3.06
credito_personas,01/04/2017,3.04
credito_personas,01/05/2017,2.98
credito_personas,01/06/2017,2.95
credito_personas,01/07/2017,2.97
credito_personas,01/08/2017,2.92
credito_personas,01/09/2017,2.95
credito_personas,01/10/2017,2.89
credito_personas,01/11/2017,2.81
credito_personas,01/12/2017,2.83
credito_personas,01/01/2018,2.88
credito_personas,01/02/2018,2.92
credito_personas,01/03/2018,2.92
credito_personas,01/04/2018,2.89
credito_personas,01/05/2018,2.85
credito_personas,01/06/2018,2.83
credito_personas,01/07/2018,2.79
credito_personas,01/08/2018,2.77
credito_personas,01/09/2018,2.77
credito_personas,01/10/2018,2.75
credito_personas,01/11/2018,2.67
credito_personas,01/12/2018,2.67
credito_personas,01/01/2019,2.69
credito_personas,01/02/2019,2.74
credito_personas,01/03/2019,2.7
credito_personas,01/04/2019,2.66
credito_personas,01/05/2019,2.62
credito_personas,01/06/2019,2.59
credito_personas,01/07/2019,2.54
credito_personas,01/08/2019,2.53
credito_personas,01/09/2019,2.53
credito_personas,01/10/2019,2.48
credito_personas,01/11/2019,2.41
credito_personas,01/12/2019,2.39
credito_personas,01/01/2020,2.47
credito_personas,01/02/2020,2.46
credito_personas,01/03/2020,2.38
credito_personas,01/04/2020,2.15
credito_personas,01/05/2020,2.19
credito_personas,01/06/2020,2.17
credito_personas,01/07/2020,2.12
credito_personas,01/08/2020,2.13
credito_personas,01/09/2020,2.22
credito_personas,01/10/2020,2.21
credito_personas,01/11/2020,2.1
credito_personas,01/12/2020,2.19
credito_personas,01/01/2021,2.19
credito_personas,01/02/2021,2.23
credito_personas,01/03/2021,2.2
credito_personas,01/04/2021,2.13
credito_personas,01/05/2021,2.17
credito_personas,01/06/2021,2.17
credito_personas,01/07/2021,2.18
credito_personas,01/08/2021,2.2
credito_personas,01/09/2021,2.26
credito_personas,01/10/2021,2.36
credito_personas,01/11/2021,2.4
credito_personas,01/12/2021,2.5
credito_personas,01/01/2022,2.56
credito_personas,01/02/2022,2.61
credito_personas,01/03/2022,2.63
credito_personas,01/04/2022,2.65
credito_personas,01/05/2022,2.65
credito_personas,01/06/2022,2.61
credito_personas,01/07/2022,2.65
credito_personas,01/08/2022,2.68
credito_personas,01/09/2022,2.69
credito_personas,01/10/2022,3.25
credito_personas,01/11/2022,3.11
credito_personas,01/12/2022,2.8
credito_personas,01/01/2023,2.8
credito_personas,01/02/2023,2.82
credito_personas,01/03/2023,2.8
credito_personas,01/04/2023,2.79
credito_personas,01/05/2023,2.78
credito_personas,01/06/2023,2.78
credito_personas,01/07/2023,2.75
credito_personas,01/08/2023,2.74
credito_personas,01/09/2023,2.72
credito_personas,01/10/2023,2.68
credito_personas,01/11/2023,2.67
credito_personas,01/12/2023,2.73
credito_personas,01/01/2024,2.75
credito_personas,01/02/2024,2.76
credito_personas,01/03/2024,2.72
credito_personas,01/04/2024,2.75
credito_personas,01/05/2024,2.77
credito_personas,01/06/2024,2.76
credito_personas,01/07/2024,2.75
credito_personas,01/08/2024,2.73
credito_personas,01/09/2024,2.74
credito_personas,01/10/2024,2.76
credito_personas,01/11/2024,2.79
credito_personas,01/12/2024,2.89
credito_personas,01/01/2025,2.91
credito_personas,01/02/2025,2.9
credito_personas,01/03/2025,3.09
credito_personas,01/04/2025,3.94
credito_personas,01/05/2025,3.75
credito_personas,01/06/2025,3.79
credito_personas,01/07/2025,3.75
credito_personas,01/08/2025,3.79
credito_personas,01/09/2025,3.91
credito_personas,01/10/2025,3.94
credito_personas,01/11/2025,3.84
credito_personas,01/12/2025,3.79
credito_personas,01/01/2026,3.85
credito_personas,01/02/2026,3.96
credito_personas,01/03/2026,3.82
credito_personas,01/04/2026,3.79
ibcbr,01/01/2003,67.2184
ibcbr,01/02/2003,68.97535
ibcbr,01/03/2003,72.29213
ibcbr,01/04/2003,71.43515
ibcbr,01/05/2003,70.1141
ibcbr,01/06/2003,68.91523
ibcbr,01/07/2003,72.04168
ibcbr,01/08/2003,70.93728
ibcbr,01/09/2003,71.91563
ibcbr,01/10/2003,73.44233
ibcbr,01/11/2003,71.27284
ibcbr,01/12/2003,69.72234
ibcbr,01/01/2004,68.91897
ibcbr,01/02/2004,69.5242
ibcbr,01/03/2004,78.28149
ibcbr,01/04/2004,75.0529
ibcbr,01/05/2004,74.12148
ibcbr,01/06/2004,74.80093
ibcbr,01/07/2004,77.92854
ibcbr,01/08/2004,77.35465
ibcbr,01/09/2004,76.3472
ibcbr,01/10/2004,76.12213
ibcbr,01/11/2004,76.60865
ibcbr,01/12/2004,75.19329
ibcbr,01/01/2005,72.37047
ibcbr,01/02/2005,72.70598
ibcbr,01/03/2005,80.68877
ibcbr,01/04/2005,78.54155
ibcbr,01/05/2005,77.49933
ibcbr,01/06/2005,77.9434
ibcbr,01/07/2005,79.10163
ibcbr,01/08/2005,80.4991
ibcbr,01/09/2005,77.56388
ibcbr,01/10/2005,77.82693
ibcbr,01/11/2005,78.10904
ibcbr,01/12/2005,77.77229
ibcbr,01/01/2006,75.88664
ibcbr,01/02/2006,75.35799
ibcbr,01/03/2006,83.25463
ibcbr,01/04/2006,78.7236
ibcbr,01/05/2006,81.924
ibcbr,01/06/2006,79.97367
ibcbr,01/07/2006,83.47258
ibcbr,01/08/2006,84.63161
ibcbr,01/09/2006,81.24214
ibcbr,01/10/2006,83.41944
ibcbr,01/11/2006,82.95932
ibcbr,01/12/2006,81.30467
ibcbr,01/01/2007,80.24319
