valor,vigenciadesde,indicador
643.42,1991-12-02T00:00:00.000,trm
639.22,1991-12-03T00:00:00.000,trm
635.7,1991-12-04T00:00:00.000,trm
631.51,1991-12-05T00:00:00.000,trm
627.16,1991-12-06T00:00:00.000,trm
638.06,1991-12-07T00:00:00.000,trm
622.92,1991-12-10T00:00:00.000,trm
627.46,1991-12-11T00:00:00.000,trm
633.09,1991-12-12T00:00:00.000,trm
632.35,1991-12-13T00:00:00.000,trm
630.91,1991-12-14T00:00:00.000,trm
626.23,1991-12-17T00:00:00.000,trm
626.52,1991-12-18T00:00:00.000,trm
633.35,1991-12-19T00:00:00.000,trm
621.71,1991-12-20T00:00:00.000,trm
620.62,1991-12-21T00:00:00.000,trm
622.95,1991-12-24T00:00:00.000,trm
622.95,1991-12-25T00:00:00.000,trm
631.63,1991-12-27T00:00:00.000,trm
632.37,1991-12-28T00:00:00.000,trm
632.37,1991-12-31T00:00:00.000,trm
632.37,1992-01-01T00:00:00.000,trm
638.61,1992-01-02T00:00:00.000,trm
632.58,1992-01-03T00:00:00.000,trm
638.07,1992-01-04T00:00:00.000,trm
638.17,1992-01-08T00:00:00.000,trm
638.61,1992-01-09T00:00:00.000,trm
637.86,1992-01-10T00:00:00.000,trm
645.04,1992-01-11T00:00:00.000,trm
659.74,1992-01-14T00:00:00.000,trm
657.49,1992-01-15T00:00:00.000,trm
653.45,1992-01-16T00:00:00.000,trm
652.91,1992-01-17T00:00:00.000,trm
645.35,1992-01-18T00:00:00.000,trm
645.97,1992-01-21T00:00:00.000,trm
647.04,1992-01-22T00:00:00.000,trm
647.01,1992-01-23T00:00:00.000,trm
647.01,1992-01-24T00:00:00.000,trm
644.83,1992-01-25T00:00:00.000,trm
645.53,1992-01-28T00:00:00.000,trm
645.2,1992-01-29T00:00:00.000,trm
644.04,1992-01-30T00:00:00.000,trm
644.27,1992-01-31T00:00:00.000,trm
640.52,1992-02-01T00:00:00.000,trm
640.52,1992-02-04T00:00:00.000,trm
