TIME_PERIOD,INDICATOR,COUNTRY,FREQUENCY,COUNTRY_UPDATE_DATE,OVERLAP,DECIMALS_DISPLAYED,SCALE,value,country
2000,NGDP_R,ARG,A,9/23/2025,OL,3,9,479955851000.0,ARG
2001,NGDP_R,ARG,A,9/23/2025,OL,3,9,458795372000.0,ARG
2002,NGDP_R,ARG,A,9/23/2025,OL,3,9,408812082000.0,ARG
2003,NGDP_R,ARG,A,9/23/2025,OL,3,9,445422787000.0,ARG
2004,NGDP_R,ARG,A,9/23/2025,OL,3,9,485115195000.0,ARG
2005,NGDP_R,ARG,A,9/23/2025,OL,3,9,528055943000.0,ARG
2006,NGDP_R,ARG,A,9/23/2025,OL,3,9,570549404000.0,ARG
2007,NGDP_R,ARG,A,9/23/2025,OL,3,9,621942503000.0,ARG
2008,NGDP_R,ARG,A,9/23/2025,OL,3,9,647176160000.0,ARG
2009,NGDP_R,ARG,A,9/23/2025,OL,3,9,608872876000.0,ARG
2010,NGDP_R,ARG,A,9/23/2025,OL,3,9,670523679000.0,ARG
2011,NGDP_R,ARG,A,9/23/2025,OL,3,9,710781597000.0,ARG
2012,NGDP_R,ARG,A,9/23/2025,OL,3,9,703485989000.0,ARG
2013,NGDP_R,ARG,A,9/23/2025,OL,3,9,720407105000.0,ARG
2014,NGDP_R,ARG,A,9/23/2025,OL,3,9,702306046000.0,ARG
2015,NGDP_R,ARG,A,9/23/2025,OL,3,9,721487147000.0,ARG
2016,NGDP_R,ARG,A,9/23/2025,OL,3,9,706477849000.0,ARG
2017,NGDP_R,ARG,A,9/23/2025,OL,3,9,726389948000.0,ARG
2018,NGDP_R,ARG,A,9/23/2025,OL,3,9,707377443000.0,ARG
2019,NGDP_R,ARG,A,9/23/2025,OL,3,9,693223804000.0,ARG
2020,NGDP_R,ARG,A,9/23/2025,OL,3,9,624591286000.0,ARG
2021,NGDP_R,ARG,A,9/23/2025,OL,3,9,689809934000.0,ARG
2022,NGDP_R,ARG,A,9/23/2025,OL,3,9,731341634000.0,ARG
2023,NGDP_R,ARG,A,9/23/2025,OL,3,9,717769483000.0,ARG
2024,NGDP_R,ARG,A,9/23/2025,OL,3,9,708130336000.0,ARG
2025,NGDP_R,ARG,A,9/23/2025,OL,3,9,739056748000.0,ARG
2026,NGDP_R,ARG,A,9/23/2025,OL,3,9,764923735000.0,ARG
2027,NGDP_R,ARG,A,9/23/2025,OL,3,9,795546072000.0,ARG
2028,NGDP_R,ARG,A,9/23/2025,OL,3,9,825521374000.0,ARG
2029,NGDP_R,ARG,A,9/23/2025,OL,3,9,854720635000.0,ARG
2030,NGDP_R,ARG,A,9/23/2025,OL,3,9,881651036000.0,ARG
2031,NGDP_R,ARG,A,9/23/2025,OL,3,9,908451790000.0,ARG
2000,NGDP_R,BOL,A,9/17/2025,OL,3,9,151660458000.0,BOL
2001,NGDP_R,BOL,A,9/17/2025,OL,3,9,154119327000.0,BOL
2002,NGDP_R,BOL,A,9/17/2025,OL,3,9,158245807000.0,BOL
2003,NGDP_R,BOL,A,9/17/2025,OL,3,9,161148219000.0,BOL
2004,NGDP_R,BOL,A,9/17/2025,OL,3,9,167696228000.0,BOL
2005,NGDP_R,BOL,A,9/17/2025,OL,3,9,174759615000.0,BOL
2006,NGDP_R,BOL,A,9/17/2025,OL,3,9,183017836000.0,BOL
2007,NGDP_R,BOL,A,9/17/2025,OL,3,9,192211300000.0,BOL
2008,NGDP_R,BOL,A,9/17/2025,OL,3,9,204998053000.0,BOL
2009,NGDP_R,BOL,A,9/17/2025,OL,3,9,211049930000.0,BOL
2010,NGDP_R,BOL,A,9/17/2025,OL,3,9,220487781000.0,BOL
2011,NGDP_R,BOL,A,9/17/2025,OL,3,9,232649169000.0,BOL
2012,NGDP_R,BOL,A,9/17/2025,OL,3,9,245329602000.0,BOL
2013,NGDP_R,BOL,A,9/17/2025,OL,3,9,262845385000.0,BOL
2014,NGDP_R,BOL,A,9/17/2025,OL,3,9,278036426000.0,BOL
2015,NGDP_R,BOL,A,9/17/2025,OL,3,9,291769232000.0,BOL
2016,NGDP_R,BOL,A,9/17/2025,OL,3,9,304434220000.0,BOL
2017,NGDP_R,BOL,A,9/17/2025,OL,3,9,317358601000.0,BOL
2018,NGDP_R,BOL,A,9/17/2025,OL,3,9,326460696000.0,BOL
2019,NGDP_R,BOL,A,9/17/2025,OL,3,9,331379528000.0,BOL
2020,NGDP_R,BOL,A,9/17/2025,OL,3,9,289229797000.0,BOL
2021,NGDP_R,BOL,A,9/17/2025,OL,3,9,318236783000.0,BOL
2022,NGDP_R,BOL,A,9/17/2025,OL,3,9,330162445000.0,BOL
2023,NGDP_R,BOL,A,9/17/2025,OL,3,9,338470526000.0,BOL
2024,NGDP_R,BOL,A,9/17/2025,OL,3,9,334667904000.0,BOL
2025,NGDP_R,BOL,A,9/17/2025,OL,3,9,330651889000.0,BOL
2026,NGDP_R,BOL,A,9/17/2025,OL,3,9,319791200000.0,BOL
2000,NGDP_R,BRA,A,9/13/2025,OL,3,9,785111000000.0,BRA
2001,NGDP_R,BRA,A,9/13/2025,OL,3,9,796023000000.0,BRA
2002,NGDP_R,BRA,A,9/13/2025,OL,3,9,820328000000.0,BRA
2003,NGDP_R,BRA,A,9/13/2025,OL,3,9,829688000000.0,BRA
2004,NGDP_R,BRA,A,9/13/2025,OL,3,9,877477000000.0,BRA
2005,NGDP_R,BRA,A,9/13/2025,OL,3,9,905575000000.0,BRA
2006,NGDP_R,BRA,A,9/13/2025,OL,3,9,941453000000.0,BRA
2007,NGDP_R,BRA,A,9/13/2025,OL,3,9,998598000000.0,BRA
2008,NGDP_R,BRA,A,9/13/2025,OL,3,9,1049470000000.0,BRA
2009,NGDP_R,BRA,A,9/13/2025,OL,3,9,1048149000000.0,BRA
2010,NGDP_R,BRA,A,9/13/2025,OL,3,9,1127057000000.0,BRA
2011,NGDP_R,BRA,A,9/13/2025,OL,3,9,1171850000000.0,BRA
2012,NGDP_R,BRA,A,9/13/2025,OL,3,9,1194363000000.0,BRA
2013,NGDP_R,BRA,A,9/13/2025,OL,3,9,1230252000000.0,BRA
2014,NGDP_R,BRA,A,9/13/2025,OL,3,9,1236452000000.0,BRA
2015,NGDP_R,BRA,A,9/13/2025,OL,3,9,1192610000000.0,BRA
2016,NGDP_R,BRA,A,9/13/2025,OL,3,9,1153541000000.0,BRA
2017,NGDP_R,BRA,A,9/13/2025,OL,3,9,1168801000000.0,BRA
2018,NGDP_R,BRA,A,9/13/2025,OL,3,9,1189649000000.0,BRA
2019,NGDP_R,BRA,A,9/13/2025,OL,3,9,1204172000000.0,BRA
2020,NGDP_R,BRA,A,9/13/2025,OL,3,9,1164715000000.0,BRA
2021,NGDP_R,BRA,A,9/13/2025,OL,3,9,1220185000000.0,BRA
2022,NGDP_R,BRA,A,9/13/2025,OL,3,9,1256994000000.0,BRA
2023,NGDP_R,BRA,A,9/13/2025,OL,3,9,1297740000000.0,BRA
2024,NGDP_R,BRA,A,9/13/2025,OL,3,9,1342116000000.0,BRA
2025,NGDP_R,BRA,A,9/13/2025,OL,3,9,1372791000000.0,BRA
2026,NGDP_R,BRA,A,9/13/2025,OL,3,9,1399024755000.0,BRA
2027,NGDP_R,BRA,A,9/13/2025,OL,3,9,1426457204000.0,BRA
2028,NGDP_R,BRA,A,9/13/2025,OL,3,9,1460010604000.0,BRA
2029,NGDP_R,BRA,A,9/13/2025,OL,3,9,1496556998000.0,BRA
2030,NGDP_R,BRA,A,9/13/2025,OL,3,9,1534018206000.0,BRA
2031,NGDP_R,BRA,A,9/13/2025,OL,3,9,1572417129000.0,BRA
2000,NGDP_R,CHL,A,9/10/2025,OL,3,9,95613646000000.0,CHL
2001,NGDP_R,CHL,A,9/10/2025,OL,3,9,98629335000000.0,CHL
2002,NGDP_R,CHL,A,9/10/2025,OL,3,9,101788234000000.0,CHL
2003,NGDP_R,CHL,A,9/10/2025,OL,3,9,106595943000000.0,CHL
2004,NGDP_R,CHL,A,9/10/2025,OL,3,9,113710428000000.0,CHL
2005,NGDP_R,CHL,A,9/10/2025,OL,3,9,120347757000000.0,CHL
2006,NGDP_R,CHL,A,9/10/2025,OL,3,9,127628786000000.0,CHL
2007,NGDP_R,CHL,A,9/10/2025,OL,3,9,134224936000000.0,CHL
2008,NGDP_R,CHL,A,9/10/2025,OL,3,9,139311245000000.0,CHL
2009,NGDP_R,CHL,A,9/10/2025,OL,3,9,137753694000000.0,CHL
2010,NGDP_R,CHL,A,9/10/2025,OL,3,9,145814558000000.0,CHL
2011,NGDP_R,CHL,A,9/10/2025,OL,3,9,154889906000000.0,CHL
2012,NGDP_R,CHL,A,9/10/2025,OL,3,9,164423907000000.0,CHL
2013,NGDP_R,CHL,A,9/10/2025,OL,3,9,169863885000000.0,CHL
2014,NGDP_R,CHL,A,9/10/2025,OL,3,9,172908950000000.0,CHL
2015,NGDP_R,CHL,A,9/10/2025,OL,3,9,176629851000000.0,CHL
2016,NGDP_R,CHL,A,9/10/2025,OL,3,9,179726240000000.0,CHL
2017,NGDP_R,CHL,A,9/10/2025,OL,3,9,182166376000000.0,CHL
2018,NGDP_R,CHL,A,9/10/2025,OL,3,9,189434868000000.0,CHL
2019,NGDP_R,CHL,A,9/10/2025,OL,3,9,190636580000000.0,CHL
2020,NGDP_R,CHL,A,9/10/2025,OL,3,9,178924870000000.0,CHL
2021,NGDP_R,CHL,A,9/10/2025,OL,3,9,199170078000000.0,CHL
