pais_sigla,provincia_estado,tamano_ciudad,id_encuesta,situacion_laboral,miedo_desempleo,percepcion_eco_pais,percepcion_eco_hogar,justicia_ingresos,progreso_pais,eco_pais_pasado,eco_pais_futuro,genero,edad
ARG,32002.0,8.0,24.0,5.0,-5.0,5.0,3.0,4.0,3.0,5.0,3.0,2.0,83.0
ARG,32002.0,8.0,24.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,30.0
ARG,32002.0,8.0,24.0,5.0,-5.0,5.0,4.0,4.0,3.0,4.0,3.0,1.0,59.0
ARG,32002.0,8.0,24.0,5.0,-5.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,62.0
ARG,32002.0,8.0,24.0,1.0,1.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,46.0
ARG,32002.0,8.0,24.0,7.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,18.0
ARG,32002.0,8.0,24.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,39.0
ARG,32002.0,8.0,24.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,44.0
ARG,32002.0,8.0,24.0,7.0,5.0,4.0,4.0,3.0,2.0,5.0,3.0,2.0,18.0
ARG,32002.0,8.0,24.0,2.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,1.0,36.0
ARG,32002.0,8.0,24.0,3.0,1.0,5.0,5.0,4.0,3.0,5.0,2.0,2.0,42.0
ARG,32002.0,8.0,24.0,5.0,-5.0,5.0,2.0,1.0,2.0,4.0,1.0,2.0,68.0
ARG,32002.0,8.0,24.0,5.0,-5.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,76.0
ARG,32002.0,8.0,24.0,1.0,3.0,5.0,3.0,4.0,3.0,5.0,5.0,1.0,47.0
ARG,32002.0,8.0,24.0,5.0,-5.0,5.0,5.0,3.0,3.0,5.0,5.0,2.0,73.0
ARG,32002.0,8.0,24.0,7.0,5.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,18.0
ARG,32002.0,8.0,24.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,-1.0,1.0,43.0
